ldr,pre,dia,miu,tem,mas
18.83,7.5,1.35,13.5,318.2128931,29.48479205
40,10.01,1,12,321.93,25.42
5,9.92,1,12,335.94,24.52
40,9.99,1,12,318.22,27.26
40,9.99,1,12,315.15,30.4
40,7.91,1,12,308.62,20.06
8,9.98,1,12,323.3,29
20,9.2,2,0.4,318.2112245,102.2727273
40,7.92,1,12,308.07,20.66
40,8.01,1,12,346.24,14.29
40,7.95,1,12,318.09,17.04
5,8.02,1,12,309.46,22.35
12.01799931,8.23,1.35,13.5,308.35,40.82491582
5,9.91,1,12,315.3,33.2
3,7.5,2,0.4,313.0683673,63.63636364
3,10.7,1,12,352.4,23.74
40,8.01,1,12,368.74,13.53
40,9.92,1,12,328.39,21.82
40,8.05,1,12,358.76,14.59
1,7.5,2,0.4,317.9663265,63.63636364
40,9.96,1,12,314.31,31.15
3,8.3,2,0.4,308.4153061,123.4285714
40,7.96,1,12,327.38,15.9
40,7.89,1,12,308.92,19.94
18.83,8.5,1.35,13.5,318.15,33.9540658
3,7.5,2,0.4,319.4357143,62.5
3,7.5,2,0.4,322.8642857,59.09090909
15.13326411,8.52,1.35,13.5,308.35,42.08754209
5,7.88,1,12,341.5,17.99
40,7.89,1,12,330.97,15.42
40,7.95,1,12,310.84,18.74
40,7.99,1,12,310.45,19.31
18.83,8.2,1.35,13.5,313.1185535,35.81626319
40,8.03,1,12,373.23,13.98
3,9.68,1,12,353.9,22.87
3,7.8,1,12,354.1,17.02
5,7.98,1,12,314.58,19.99
1,7.5,2,0.4,323.5989796,62.5
20,8.3,2,0.4,308.6602041,116.5714286
3,8.3,2,0.4,323.5989796,89.14285714
5,7.92,1,12,360.18,16.23
5,9.93,1,12,325.69,27.03
18.87158186,8.52,1.35,13.5,308.35,41.24579125
40,9.95,1,12,327.74,22.22
7.033575632,9.03,1.35,13.5,308.35,53.24074074
5,9.99,1,12,317.71,32.02
10,9.98,1,12,323.7,28.9
40,9.99,1,12,323.09,24.79
5,9.93,1,12,331.63,25.38
40,9.83,1,12,355.68,18.7
40,10.01,1,12,312.87,33.38
40,9.99,1,12,324.45,23.49
5,7.93,1,12,331.08,18.51
3,9.2,2,0.4,318.4561224,109.0909091
5,9.94,1,12,321.59,28.57
18.83,9,1.35,13.5,318.2128931,38.05090006
40,10.02,1,12,320.04,26.25
5,7.96,1,12,310.82,22.27
40,9.96,1,12,312.5,33.27
8,8.97,1,12,350.2,20.4
5,7.91,1,12,327.47,18.74
40,9.85,1,12,310.4,33.39
40,7.93,1,12,318.68,16.78
40,7.95,1,12,315.16,17.82
40,10,1,12,325.59,22.97
5,7.95,1,12,349.19,16.92
3,8.3,2,0.4,318.2112245,90.85714286
40,9.97,1,12,332.81,21.16
18.83,7.5,1.35,13.5,313.1814465,30.41589075
5,9.9,1,12,329.83,27.58
40,7.93,1,12,308.32,20.66
5,9.96,1,12,319.44,30.46
20,8.3,2,0.4,328.4969388,73.71428571
3,9.98,1,12,322.5,30.78
5,9.95,1,12,316.41,32.41
5,9.93,1,12,327.75,26.57
20,9.2,2,0.4,328.2520408,90.34090909
1,7.5,2,0.4,308.1704082,70.45454545
40,7.96,1,12,316.36,17.6
40,9.98,1,12,313.46,32.41
5,9.9,1,12,310.79,38.28
18.83,8.2,1.35,13.5,318.2128931,32.83674736
1,9.97,1,12,323.15,31.61
40,9.91,1,12,349.58,19.38
40,9.99,1,12,312.32,33.67
9.595015576,9.03,1.35,13.5,308.35,51.34680135
40,9.99,1,12,320.45,25.97
9.595015576,8.52,1.35,13.5,308.35,43.77104377
40,8.01,1,12,322.99,16.34
8.348909657,8.52,1.35,13.5,308.35,44.82323232
3,8.3,2,0.4,313.5581633,94.28571429
1,8.3,2,0.4,328.0071429,87.42857143
5,8.13,1,12,322.8,21.57
5,9.91,1,12,360.43,21.81
40,7.95,1,12,308.63,20.81
5,9.93,1,12,313.2,35.07
5,9.97,1,12,323.2,30.97
12.08722741,9.03,1.35,13.5,308.35,50.50505051
40,9.91,1,12,362.45,18.53
3,9.2,2,0.4,323.1091837,105.6818182
20,7.5,2,0.4,328.2520408,51.13636364
5,10.71,1,12,323.5,33.5
18.87158186,8.23,1.35,13.5,308.35,38.51010101
40,9.93,1,12,344.84,19.56
40,9.92,1,12,339.74,21.2
3,14.01,1,12,349.25,35.59
20,7.5,2,0.4,323.5989796,52.27272727
1,9.2,2,0.4,323.1091837,109.0909091
5,7.92,1,12,318.94,19.67
18.83,8.5,1.35,13.5,308.15,45.49968963
40,9.9,1,12,366.26,17.92
5,7.94,1,12,339.35,18.1
40,10.01,1,12,322.57,25.2
1,8.3,2,0.4,313.0683673,101.1428571
40,7.94,1,12,319.36,16.64
3,9.2,2,0.4,328.4969388,103.9772727
1,8.3,2,0.4,323.3540816,90.85714286
40,9.95,1,12,327.05,22.32
168,10.1,2,3.8,316.2,89.06
106,10.1,3.175,4.3,326.38,189.41
168,10.1,2,3.8,346.61,60
106,10.1,3.175,4.3,363.76,148.24
168,10.1,2,3.8,323.9,76.23
168,10.1,2,3.8,336.88,64.53
168,10.1,2,3.8,334.71,70.57
168,10.1,2,3.8,315.84,91.89
168,10.1,2,3.8,334.95,66.04
106,10.1,3.175,4.3,322.18,198.43
168,10.1,2,3.8,313.44,97.55
168,10.1,2,3.8,318.97,79.62
168,10.1,2,3.8,315.84,86.6
168,10.1,2,3.8,348.9,61.7
168,10.1,2,3.8,338.56,65.09
106,10.1,3.175,4.3,319.37,209.02
106,10.1,3.175,4.3,329.52,184.71
168,10.1,2,3.8,320.29,80
168,10.1,2,3.8,333.87,65.66
168,10.1,2,3.8,314.4,90
106,10.1,3.175,4.3,317.44,216.86
168,10.1,2,3.8,331.11,69.25
106,10.1,3.175,4.3,324.28,195.29
