ldr,pre,dia,miu,tem,mas
168,2.71,4,-2.721246399,321.01,80.94
106,2.71,10.080625,-2.868275274,333.72,176.86
168,2.71,4,-2.721246399,312.72,97.92
168,2.71,4,-2.721246399,312,97.36
168,2.71,4,-2.721246399,319.33,81.7
168,2.71,4,-2.721246399,313.56,91.89
168,2.71,4,-2.721246399,336.76,67.74
168,2.71,4,-2.721246399,317.53,81.7
106,2.71,10.080625,-2.868275274,338.09,172.94
106,2.71,10.080625,-2.868275274,328.65,185.1
106,2.71,10.080625,-2.868275274,315.33,231.37
168,2.71,4,-2.721246399,322.93,76.42
168,2.71,4,-2.721246399,323.53,73.21
106,2.71,10.080625,-2.868275274,348.92,160.39
168,2.71,4,-2.721246399,313.92,95.09
168,2.71,4,-2.721246399,321.25,78.11
168,2.71,4,-2.721246399,344.57,64.15
168,2.71,4,-2.721246399,312.72,96.04
168,2.71,4,-2.721246399,326.54,75.28
106,2.71,10.080625,-2.868275274,349.79,158.43
106,2.71,10.080625,-2.868275274,325.15,190.98
168,2.71,4,-2.721246399,327.02,72.08
168,2.71,4,-2.721246399,338.68,64.15
168,2.71,4,-2.721246399,318.25,86.42
168,2.71,4,-2.721246399,315.72,90
168,2.71,4,-2.721246399,327.62,70.19
168,2.71,4,-2.721246399,312.96,92.45
106,2.71,10.080625,-2.868275274,313.4,241.18
