ldr,pre,dia,miu,tem,mas
1,0.91,4,-3.698970004,328.0071429,87.42857143
5,0.54,1,-1.920818754,308.09,22.89
5,0.49,1,-1.920818754,333.31,18.23
168,2.71,4,-2.721246399,327.62,74.15
168,2.71,4,-2.721246399,327.62,70.19
5,0.52,1,-1.920818754,327.47,18.74
1,1.81,4,-3.698970004,312.0887755,150
5,2.57,1,-1.920818754,316,33.03
168,2.71,4,-2.721246399,344.57,64.15
168,2.71,4,-2.721246399,331.11,69.25
18.83,1.61,1.8225,-2,318.2128931,38.05090006
5,2.6,1,-1.920818754,317.71,32.02
5,2.54,1,-1.920818754,331.63,25.38
168,2.71,4,-2.721246399,315.96,84.15
5,0.5,1,-1.920818754,344.71,17.55
168,2.71,4,-2.721246399,317.16,87.36
9.57,0.12,1.8225,-2,308.35,31.16134752
106,2.71,10.080625,-2.868275274,340.18,171.76
1,1.81,4,-3.698970004,323.1091837,109.0909091
106,2.71,10.080625,-2.868275274,320.77,205.1
168,2.71,4,-2.721246399,342.16,62.26
5,2.57,1,-1.920818754,319.44,30.46
1,1.81,4,-3.698970004,327.7622449,103.9772727
5,0.46,1,-1.920818754,336.74,17.71
1,0.91,4,-3.698970004,323.3540816,90.85714286
5,2.53,1,-1.920818754,335.94,24.52
5,2.55,1,-1.920818754,319.93,30.04
5,2.56,1,-1.920818754,316.41,32.41
168,2.71,4,-2.721246399,311.64,100.94
5,2.53,1,-1.920818754,355.91,22.15
106,2.71,10.080625,-2.868275274,313.4,241.18
5.925925926,0.84,1.8225,-2,308.35,43.77104377
106,2.71,10.080625,-2.868275274,325.15,190.98
5,0.62,1,-1.920818754,308.56,23.2
3,1.81,4,-3.698970004,313.3132653,138.0681818
3,1.81,4,-3.698970004,308.1704082,165.3409091
5,1.45,1,-1.920818754,353.8,21.1
18.83,1.61,1.8225,-2,308.15,53.69335816
168,2.71,4,-2.721246399,338.56,65.09
18.83,1.11,1.8225,-2,313.1814465,38.2371198
18.83,1.61,1.8225,-2,313.1814465,44.00993172
15.13326411,1.64,1.8225,-2,308.35,49.87373737
3,0.91,4,-3.698970004,323.5989796,89.14285714
106,2.71,10.080625,-2.868275274,348.92,160.39
168,2.71,4,-2.721246399,313.44,97.55
15.13326411,1.13,1.8225,-2,308.35,42.08754209
168,2.71,4,-2.721246399,322.93,76.42
168,2.71,4,-2.721246399,318.97,79.62
168,2.71,4,-2.721246399,318.97,85.09
5,2.51,1,-1.920818754,310.79,38.28
18.83,0.11,1.8225,-2,313.1814465,30.41589075
168,2.71,4,-2.721246399,318.37,80.38
7.033575632,1.64,1.8225,-2,308.35,53.24074074
15,1.45,1,-1.920818754,353.5,19.4
168,2.71,4,-2.721246399,338.68,64.15
3,1.74,1,-1.920818754,351.4,21.06
5,2.59,1,-1.920818754,320.44,27.71
168,2.71,4,-2.721246399,312.72,97.92
5,2.57,1,-1.920818754,323.79,27.96
168,2.71,4,-2.721246399,315,87.92
106,2.71,10.080625,-2.868275274,326.38,189.41
3,0.91,4,-3.698970004,318.2112245,90.85714286
168,2.71,4,-2.721246399,311.52,95.66
168,2.71,4,-2.721246399,348.29,63.21
18.83,1.11,1.8225,-2,318.15,33.9540658
168,2.71,4,-2.721246399,317.04,83.58
168,2.71,4,-2.721246399,323.78,76.98
168,2.71,4,-2.721246399,348.9,61.7
5,2.57,1,-1.920818754,314.16,33.83
168,2.71,4,-2.721246399,334.95,66.04
12.08722741,1.64,1.8225,-2,308.35,50.50505051
168,2.71,4,-2.721246399,315.72,90
168,2.71,4,-2.721246399,329.78,70.57
18.87158186,1.13,1.8225,-2,308.35,41.24579125
168,2.71,4,-2.721246399,334.59,68.3
5,0.55,1,-1.920818754,315.84,19.71
1,2.58,1,-1.920818754,323.15,31.61
168,2.71,4,-2.721246399,323.53,73.21
11.9487712,1.13,1.8225,-2,308.35,42.71885522
5,0.59,1,-1.920818754,310.09,22.21
5,2.54,1,-1.920818754,325.69,27.03
5,0.74,1,-1.920818754,322.8,21.57
5,2.51,1,-1.920818754,329.83,27.58
168,2.71,4,-2.721246399,317.65,85.47
168,2.71,4,-2.721246399,321.01,80.94
18.87158186,1.64,1.8225,-2,308.35,49.66329966
5,2.54,1,-1.920818754,327.75,26.57
5,2.55,1,-1.920818754,318.08,30.85
5,0.51,1,-1.920818754,320.49,19.57
5,0.6,1,-1.920818754,309.4,22.31
3,0.41,1,-1.920818754,354.1,17.02
168,2.71,4,-2.721246399,313.56,93.96
5,2.57,1,-1.920818754,320.91,29.26
5,2.54,1,-1.920818754,324.64,28.25
168,2.71,4,-2.721246399,328.34,72.64
18.87158186,0.84,1.8225,-2,308.35,38.51010101
5,2.55,1,-1.920818754,313.76,33.98
106,2.71,10.080625,-2.868275274,352.41,155.69
20,0.11,4,-3.698970004,328.2520408,51.13636364
20,1.81,4,-3.698970004,308.6602041,144.8863636
20,0.91,4,-3.698970004,328.4969388,73.71428571
20,0.11,4,-3.698970004,308.6602041,63.63636364
20,0.91,4,-3.698970004,308.6602041,116.5714286
20,1.81,4,-3.698970004,318.2112245,102.2727273
20,0.91,4,-3.698970004,312.8234694,87.42857143
20,1.81,4,-3.698970004,323.5989796,93.75
20,1.81,4,-3.698970004,313.3132653,122.7272727
20,1.81,4,-3.698970004,328.2520408,90.34090909
20,0.11,4,-3.698970004,323.5989796,52.27272727
20,0.91,4,-3.698970004,317.9663265,75.42857143
40,2.55,1,-1.920818754,330.11,21.46
40,0.46,1,-1.920818754,309.59,18.61
40,0.62,1,-1.920818754,338.19,15.23
40,0.59,1,-1.920818754,334.21,15.46
40,0.59,1,-1.920818754,321.72,16.13
40,2.58,1,-1.920818754,311.63,33.23
40,0.63,1,-1.920818754,359.9,14.41
40,0.51,1,-1.920818754,317.62,17.45
40,2.61,1,-1.920818754,319.09,26.84
40,2.7,1,-1.920818754,316.04,30.48
40,2.59,1,-1.920818754,314.67,30.59
40,0.51,1,-1.920818754,313.37,18.07
40,0.62,1,-1.920818754,309.09,20.1
40,2.55,1,-1.920818754,311.42,33.07
40,2.55,1,-1.920818754,323,23.1
40,0.56,1,-1.920818754,323.08,15.88
40,2.64,1,-1.920818754,317.71,31.17
40,2.63,1,-1.920818754,321.1,25.42
40,0.53,1,-1.920818754,338.24,14.29
40,0.57,1,-1.920818754,319.5,16.63
40,2.66,1,-1.920818754,315.46,30.79
40,2.57,1,-1.920818754,373.81,17.9
40,0.52,1,-1.920818754,336.7,14.82
40,2.6,1,-1.920818754,322.01,24.69
40,2.58,1,-1.920818754,313.89,31.69
40,0.65,1,-1.920818754,325.35,16.13
40,2.64,1,-1.920818754,319.61,26.57
40,0.56,1,-1.920818754,309.81,19.22
40,2.55,1,-1.920818754,337.06,20.9
40,0.51,1,-1.920818754,311.55,18.54
40,0.52,1,-1.920818754,309.35,19.5
40,2.54,1,-1.920818754,341.67,20.19
40,2.66,1,-1.920818754,317.96,29.48
40,2.64,1,-1.920818754,318.61,28.08
40,2.62,1,-1.920818754,335.42,20.83
40,2.62,1,-1.920818754,320.56,25.9
40,0.58,1,-1.920818754,309.23,20.02
40,2.62,1,-1.920818754,321.93,25.42
40,2.6,1,-1.920818754,318.22,27.26
40,2.6,1,-1.920818754,315.15,30.4
40,0.52,1,-1.920818754,308.62,20.06
40,0.53,1,-1.920818754,308.07,20.66
40,0.62,1,-1.920818754,346.24,14.29
40,0.56,1,-1.920818754,318.09,17.04
40,0.62,1,-1.920818754,368.74,13.53
40,2.53,1,-1.920818754,328.39,21.82
40,0.66,1,-1.920818754,358.76,14.59
40,2.57,1,-1.920818754,314.31,31.15
40,0.57,1,-1.920818754,327.38,15.9
40,0.5,1,-1.920818754,308.92,19.94
40,0.5,1,-1.920818754,330.97,15.42
40,0.56,1,-1.920818754,310.84,18.74
40,0.6,1,-1.920818754,310.45,19.31
40,0.64,1,-1.920818754,373.23,13.98
40,2.56,1,-1.920818754,327.74,22.22
40,2.6,1,-1.920818754,323.09,24.79
40,2.44,1,-1.920818754,355.68,18.7
40,2.62,1,-1.920818754,312.87,33.38
40,2.6,1,-1.920818754,324.45,23.49
40,2.63,1,-1.920818754,320.04,26.25
40,2.57,1,-1.920818754,312.5,33.27
40,2.46,1,-1.920818754,310.4,33.39
40,0.54,1,-1.920818754,318.68,16.78
40,0.56,1,-1.920818754,315.16,17.82
40,2.61,1,-1.920818754,325.59,22.97
40,2.58,1,-1.920818754,332.81,21.16
40,0.54,1,-1.920818754,308.32,20.66
40,0.57,1,-1.920818754,316.36,17.6
40,2.59,1,-1.920818754,313.46,32.41
40,2.52,1,-1.920818754,349.58,19.38
40,2.6,1,-1.920818754,312.32,33.67
40,2.6,1,-1.920818754,320.45,25.97
40,0.62,1,-1.920818754,322.99,16.34
40,0.56,1,-1.920818754,308.63,20.81
40,2.52,1,-1.920818754,362.45,18.53
40,2.54,1,-1.920818754,344.84,19.56
40,2.53,1,-1.920818754,339.74,21.2
40,2.51,1,-1.920818754,366.26,17.92
40,2.62,1,-1.920818754,322.57,25.2
40,0.55,1,-1.920818754,319.36,16.64
40,2.56,1,-1.920818754,327.05,22.32
