EXP,Calculated,Error(%)
30.97,23.525,-24.03939296
50.50505051,48.714,-3.546280009
18.53,21.236,14.60334593
105.6818182,93.074,-11.92997851
51.13636364,20.744,-59.43395556
33.5,27.178,-18.87164179
38.51010101,37.54,-2.519081967
19.56,14.898,-23.83435583
21.2,15.309,-27.78773585
35.59,31.973,-10.16296713
52.27272727,21.349,-59.15843478
109.0909091,93.074,-14.68216667
19.67,11.976,-39.11540417
45.49968963,41.405,-8.999379256
17.92,20.867,16.4453125
18.1,10.648,-41.17127072
25.2,18.4,-26.98412698
101.1428571,71.842,-28.96977398
16.64,12.161,-26.91706731
103.9772727,86.97,-16.35672129
90.85714286,61.415,-32.40487422
22.32,17.042,-23.64695341
89.06,70.043,-21.35302044
189.41,164.86,-12.96130088
60,48.226,-19.62333333
148.24,130.96,-11.6567728
76.23,58.729,-22.95815296
64.53,51.119,-20.78258174
70.57,51.945,-26.39223466
91.89,70.643,-23.12221134
66.04,51.868,-21.45972138
198.43,176.68,-10.9610442
97.55,74.222,-23.91389031
79.62,65.332,-17.94523989
86.6,70.643,-18.426097
61.7,47.661,-22.75364668
65.09,50.567,-22.31218313
209.02,188.42,-9.855516219
184.71,158.94,-13.95159981
80,63.236,-20.955
65.66,52.344,-20.2802315
90,72.833,-19.07444444
216.86,197.93,-8.729134004
69.25,53.62,-22.57039711
195.29,170.06,-12.9192483
79.06,60.167,-23.89704022
78.49,64.593,-17.70544018
92.45,69.244,-25.10113575
140.39,124.37,-11.41106916
70.57,52.979,-24.92702281
171.76,146.12,-14.92780624
84.15,70.443,-16.28877005
76.04,61.707,-18.84928985
165.1,142.91,-13.44033919
75.47,57.941,-23.2264476
70.57,54.34,-22.99844126
69.25,54.269,-21.633213
85.09,65.332,-23.22011987
92.45,73.035,-21.00054083
63.4,49.194,-22.40694006
76.98,58.874,-23.52039491
83.58,68.648,-17.86551807
155.69,137.06,-11.96608645
73.77,54.626,-25.95092856
74.15,55.667,-24.92650034
168.24,145.65,-13.42724679
62.26,49.443,-20.5862512
87.36,68.45,-21.64606227
68.3,52.009,-23.85212299
93.96,74.02,-21.22179651
94.53,75.793,-19.82122078
87.92,71.938,-18.17788899
83.77,64.358,-23.17297362
63.21,47.841,-24.31419079
75.28,60.321,-19.87114772
100.94,76.523,-24.18961759
83.21,63.061,-24.21463766
249.41,219.86,-11.84796119
73.58,57.1,-22.3973906
72.64,55.213,-23.9909141
80.38,66.384,-17.41229161
95.66,76.669,-19.85260297
85.47,67.601,-20.90675091
177.65,153.16,-13.78553335
83.58,65.95,-21.09356305
205.1,182.06,-11.23354461
71.89,57.016,-20.68994297
80.94,62.206,-23.14553991
176.86,152.98,-13.50220513
97.92,75.152,-23.25163399
97.36,76.084,-21.85291701
81.7,64.776,-20.71481028
91.89,74.02,-19.44716509
67.74,51.181,-24.44493652
81.7,67.797,-17.01713586
172.94,148.14,-14.34023361
185.1,160.49,-13.29551594
231.37,208.31,-9.966719972
76.42,59.76,-21.80057577
73.21,59.118,-19.24873651
160.39,139.36,-13.11179001
95.09,73.527,-22.67641182
78.11,61.873,-20.78735117
64.15,48.739,-24.0233827
96.04,75.152,-21.74927114
75.28,56.424,-25.04782147
158.43,138.78,-12.40295399
190.98,167.79,-12.14263274
72.08,56.106,-22.16148724
64.15,50.507,-21.26734217
86.42,66.576,-22.96227725
90,70.789,-21.34555556
70.19,55.667,-20.69098162
92.45,74.861,-19.02541915
241.18,216.99,-10.02985322
